City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
233,Kardla,EE,2020-12-26 14:44:33,59.0,22.75,32.0,88,100,1.01
234,Lerwick,GB,2020-12-26 14:39:53,60.15,-1.15,44.6,87,75,33.33
235,Cabo San Lucas,MX,2020-12-26 14:39:39,22.89,-109.91,59.0,77,5,4.7
236,Katsuura,JP,2020-12-26 14:39:05,35.13,140.3,46.99,52,75,8.05
237,Dromolaxia,CY,2020-12-26 14:44:34,34.88,33.59,62.6,59,20,12.75
238,Noyabrsk,RU,2020-12-26 14:41:51,63.2,75.45,-39.96,81,8,3.33
239,Lagoa,PT,2020-12-26 14:40:16,39.05,-27.98,58.32,74,52,25.86
240,Bilibino,RU,2020-12-26 14:40:19,68.05,166.44,-30.41,76,40,2.75
241,Ossora,RU,2020-12-26 14:39:14,59.24,163.07,9.41,95,100,9.26
242,Fort Nelson,CA,2020-12-26 14:39:00,58.81,-122.7,-9.4,83,90,2.24
243,Grindavik,IS,2020-12-26 14:40:29,63.84,-22.43,26.6,86,75,6.93
244,Berlevag,NO,2020-12-26 14:44:35,70.86,29.09,18.9,90,28,21.68
245,Port Hedland,AU,2020-12-26 14:39:02,-20.32,118.57,86.0,74,0,8.05
246,Comodoro Rivadavia,AR,2020-12-26 14:44:35,-45.87,-67.5,82.4,32,0,20.8
247,Ponferrada,ES,2020-12-26 14:44:36,42.55,-6.6,44.01,62,3,1.01
248,Atbasar,KZ,2020-12-26 14:44:36,51.8,68.33,-8.64,90,0,5.93
249,Namatanai,PG,2020-12-26 14:44:36,-3.67,152.43,81.41,71,84,4.68
250,Mandalgovi,MN,2020-12-26 14:44:36,45.76,106.27,4.19,77,25,4.12
251,Suhbaatar,MN,2020-12-26 14:44:36,50.23,106.21,-1.77,88,100,9.44
252,Swellendam,ZA,2020-12-26 14:44:37,-34.02,20.44,80.6,51,0,14.99
253,Bethel,US,2020-12-26 14:39:11,41.37,-73.41,24.8,53,1,12.75
254,Pangnirtung,CA,2020-12-26 14:39:17,66.15,-65.71,-6.11,71,1,3.04
255,Quelimane,MZ,2020-12-26 14:44:37,-17.88,36.89,89.6,66,40,13.87
256,Mporokoso,ZM,2020-12-26 14:44:37,-9.37,30.12,70.63,91,99,3.85
257,Manokwari,ID,2020-12-26 14:44:38,-0.87,134.08,80.06,78,100,5.61
258,Shaping,CN,2020-12-26 14:44:38,22.75,112.96,66.99,83,26,3.0
259,Riyadh,SA,2020-12-26 14:44:38,24.69,46.72,59.0,16,0,6.93
260,Kaeo,NZ,2020-12-26 14:40:45,-35.1,173.78,55.0,80,4,5.01
261,Keti Bandar,PK,2020-12-26 14:44:38,24.14,67.45,69.21,62,0,12.5
262,Papara,BR,2020-12-26 14:44:39,-3.98,-38.73,87.8,58,40,24.16
263,Kudahuvadhoo,MV,2020-12-26 14:44:39,2.67,72.89,82.83,72,11,6.04
264,Faya,SA,2020-12-26 14:44:39,18.39,42.45,66.2,42,0,11.41
265,Kyra,RU,2020-12-26 14:44:39,49.58,111.98,-3.59,85,1,4.76
266,San Patricio,US,2020-12-26 14:39:44,28.02,-97.52,46.99,44,75,3.36
267,Saravan,AM,2020-12-26 14:44:40,39.72,45.65,30.2,63,40,4.7
268,Bradley,US,2020-12-26 14:44:40,35.15,-84.87,21.2,100,1,0.69
269,Boromlya,UA,2020-12-26 14:44:40,50.62,34.97,28.6,98,82,5.55
270,Amahai,ID,2020-12-26 14:44:41,-3.33,128.92,84.99,89,100,3.44
271,Port Lincoln,AU,2020-12-26 14:38:56,-34.73,135.87,74.05,44,100,12.01
272,Praya,CV,2020-12-26 14:44:24,14.92,-23.51,78.8,61,0,12.75
273,Mizdah,LY,2020-12-26 14:44:41,31.45,12.98,63.95,31,100,12.46
274,Souillac,MU,2020-12-26 14:39:10,-20.52,57.52,80.6,83,40,13.87
275,Buluang,PH,2020-12-26 14:44:42,13.31,123.34,75.9,95,100,0.83
276,Buala,SB,2020-12-26 14:44:42,-8.14,159.59,79.99,81,95,4.32
277,Tagusao,PH,2020-12-26 14:39:27,9.19,117.81,76.68,89,100,8.75
278,Bathsheba,BB,2020-12-26 14:39:11,13.22,-59.52,84.2,66,20,16.11
