City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Nizwa,OM,22.93,57.53,53.04,54,0,0.89,clear sky
302,Sao Filipe,CV,14.9,-24.5,74.86,76,90,9.37,overcast clouds
303,Cangucu,BR,-31.39,-52.68,75.0,89,5,1.99,clear sky
304,Gravelbourg,CA,49.88,-106.55,14.0,78,10,17.22,clear sky
305,Grindavik,IS,63.84,-22.43,32.0,81,75,6.93,broken clouds
306,Dibulla,CO,11.27,-73.31,75.45,79,47,5.21,scattered clouds
307,Concepcion,CL,-36.83,-73.05,62.6,72,0,12.75,clear sky
308,Cherskiy,RU,68.75,161.3,-35.1,83,94,2.35,overcast clouds
309,Flinders,AU,-34.58,150.86,69.01,82,97,3.0,overcast clouds
310,Bagotville,AU,-28.98,153.42,75.2,78,40,2.24,scattered clouds
311,Naze,JP,28.37,129.48,62.6,77,75,21.92,broken clouds
312,Port Hedland,AU,-20.32,118.57,87.8,74,54,9.17,broken clouds
313,Werda,BW,-25.27,23.28,79.2,52,40,1.34,light rain
314,Luderitz,NA,-26.65,15.16,62.6,77,38,12.75,scattered clouds
315,Ranot,TH,7.78,100.32,78.67,78,100,3.85,overcast clouds
316,Bonoua,CI,5.27,-3.6,80.6,94,20,1.12,few clouds
317,Yumen,CN,40.28,97.2,1.08,78,0,15.52,clear sky
318,Nishihara,JP,26.18,127.76,60.8,63,90,31.09,mist
319,Hammerfest,NO,70.66,23.68,33.8,69,0,31.09,clear sky
320,Champerico,GT,14.3,-91.92,80.6,78,20,4.7,few clouds
321,San Patricio,US,28.02,-97.52,71.6,78,20,20.8,few clouds
322,Iranshahr,IR,27.2,60.68,44.6,20,0,0.67,clear sky
323,Dolores,AR,-36.31,-57.68,70.65,86,44,8.1,scattered clouds
324,Kachiry,KZ,53.07,76.1,2.73,94,88,7.74,overcast clouds
325,Anastacio,BR,-20.48,-55.81,76.64,87,97,3.91,light rain
326,Tomball,US,30.1,-95.62,68.0,72,90,12.75,overcast clouds
327,Ziduri,RO,45.3,27.08,37.4,93,40,6.93,scattered clouds
